Movie Name,Director,Release Year,My Rating,Genre,Own
I Stand Alone,Gaspar Noe,1998,7.83,Foreign,No
Iron Man,Jon Favreau,2008,7.83,Action,No
Lord of the Flies,Peter Brook,1963,7.83,Thriller,Yes
The Conversation,Francis Ford Coppola,1974,7.83,Thriller,No
The Sunset Limited,Tommy Lee Jones,2011,7.83,Drama,No
World's Greatest Dad,Bobcat Goldthwait,2009,7.83,Independent,No
Naked,Mike Leigh,1993,7.82,Drama,No
Let Me In,Matt Reeves,2010,7.81,Horror,No
Hello I Must Be Going,Todd Louiso,2012,7.80,Independent,No
Is the Man Who Is Tall Happy?,Michel Gondry,2013,7.80,Documentary,No
The Sapphires,Wayne Blair,2012,7.80,Drama,No
The Selfish Giant,Clio Barnard,2013,7.80,Drama,No
We Bough a Zoo,Cameron Crowe,2011,7.79,Family,No
